id,prescriber_last_name,prescriber_first_name,drug_name,drug_cost
1871609263,GRIFFIN,EUGENE,DEMECLOCYCLINE HCL,721.57
1235125170,RAMACHANDRAN,AJITH,METOPROLOL TARTRATE,1066.4
1831283167,SHETH,SHRUTI,ONDANSETRON HCL,198.26
1396917944,NELSON,SASHA,ISOSORBIDE MONONITRATE ER,120.04
1295063733,NAVARRO,CAROLINE,NAPROXEN,804.44
1215965603,FINAMORE-GAY,MELANIE,CITALOPRAM HBR,92.97
1609853068,VANALSTINE,ANDREW,LYRICA,10942.64
1467416602,JINGO,AHMAD,RISPERIDONE,2329.53
1124007745,SCHER,JACQUELINE,EMTRIVA,13206.13
1952722332,ALBANO,JYNNIFER,WARFARIN SODIUM,441.26
1841243128,ROSENTHAL,ANN,PREDNISONE,1502.49
1700070208,HONG,SONG,PREDNISONE,135.81
1699711457,LANGLAND,JAMES,POTASSIUM CHLORIDE,831.62
1194710079,BYRD,TERESA,ATORVASTATIN CALCIUM,3836.13
1639289838,SEVERANCE,DOUGLAS,BD ULTRA-FINE PEN NEEDLE,522.0
1689650673,CRANE,DOUGLAS,OXYCODONE HCL,15795.18
1356544100,KLECKLEY,JOHN,ESCITALOPRAM OXALATE,9334.73
1285710905,TRAUTMAN,JOHN-PAUL,AMLODIPINE BESYLATE,540.45
1255640181,VASTARDI,MARIA- ANNA,VENTOLIN HFA,613.24
1407930274,JONES,CLINTON,RANEXA,540.9
1831367259,RUTZICK,AARON,OXYCODONE-ACETAMINOPHEN,2863.43
1790924439,LOVEDAY-LAGHI,VIVIAN,FLUCONAZOLE,139.54
1811910847,DOLAN,GEOFFREY,ATENOLOL,73.76
1013149996,HER,NOU,ZOLPIDEM TARTRATE,224.45
1669764502,NORRIS,CHAD,PANTOPRAZOLE SODIUM,175.46
1205163615,FLINCHBAUGH,JOHN,OPANA ER,7914.36
1285689760,SKAGGS,JACQUELINE,LORAZEPAM,228.38
1467736868,DE LEON,RAMIRO,METOPROLOL TARTRATE,120.78
1174818355,SULLIVAN,JILL,AMLODIPINE BESYLATE,95.11
1467524603,YERAS,ALLA,CIPROFLOXACIN HCL,71.11
1982702866,WOODS,BENJAMIN,ATENOLOL,484.72
1548464993,CORDOVA,FREDY,LOSARTAN POTASSIUM,82.44
1699744318,NOWAKIWSKYJ,THEODORE,TRAMADOL HCL,206.58
1588674832,VENUGOPAL,MEENA,ALPRAZOLAM,236.32
1689692865,GARRISON,JARED,LEVOTHYROXINE SODIUM,12063.24
1386661080,CHAMBERLAIN,LESLIE,LEVOTHYROXINE SODIUM,851.77
1154425536,MIYAKAWA,JON,LACTULOSE,139.77
1942373980,WOODARD,CHARLES,AMLODIPINE BESYLATE,3739.14
1144316704,BRASHEAR,BENJAMIN,DIGOXIN,1567.12
1881747889,REID,GRACE,DEXTROAMPHETAMINE-AMPHETAMINE,571.0
1649232141,SZABO,GRETA,GAVILYTE-G,650.7
1174757900,BEHRENDT,BRIAN,PREDNISONE,181.25
1104164987,FORD,MARIANNE,METOPROLOL TARTRATE,450.18
1568534527,LARSEN,RYAN,RESTASIS,8786.89
1750520433,MAQBOOL,SABBA,LIALDA,10415.22
1104874304,ELHENDY,ABDOU,ISOSORBIDE MONONITRATE ER,1238.01
1518936616,DAM,DINH,COLCHICINE,6089.02
1073572210,SHERFEY,SHANNON,VENLAFAXINE HCL ER,204.0
1942374020,HAMMOND,GREGORY,OMEPRAZOLE,440.49
1811314644,LEONARD,LORI,HYDROXYZINE HCL,301.8
1295806495,RAFIQUE,SHAHID,MEMANTINE HCL,960.18
1447293980,CRISSMAN,MARK,VICTOZA 2-PAK,4664.84
1528322450,KURL,PRIYADARSHI,LISINOPRIL,221.62
1497779573,DIAMOND,RAYMOND,CLIMARA,1285.25
1124069406,VALDES,NORA,POLYETHYLENE GLYCOL 3350,193.82
1982603247,GOLDIS,MICHAEL,DEXTROAMPHETAMINE-AMPHETAMINE,1034.62
1467485532,GRUCA,PAUL,ADVAIR DISKUS,11057.35
1437101714,LEVY,DAVID,MIRTAZAPINE,177.94
1184655698,DON,KAREN,SPIRIVA,14042.61
1366476970,LEE,JAMES,TAMSULOSIN HCL,3096.3
1346482775,BILGI,NAVEEN,FUROSEMIDE,67.45
1043365109,LINDAUER,LAURA,BENAZEPRIL-HYDROCHLOROTHIAZIDE,603.75
1679624936,JENSEN,LAURENCE,JANUVIA,13786.7
1902895949,HORANI,IMAD,AMITIZA,5628.61
1407834336,TAUBE,MICHELLE,FORTEO,21818.57
1932506094,LI,MICHELLE,TAMSULOSIN HCL,1073.34
1184782369,GILL,REVA,POTASSIUM CHLORIDE,394.16
1881639573,KRESHEL,CHARLES,ALPRAZOLAM,411.73
1922079995,TUKEL,DAVID,SIMBRINZA,1627.74
1093934036,LEWIS,MICHAEL,FENOFIBRATE,2462.44
1770584294,APPLEGATE,ROGER,METHOTREXATE,1281.72
1851307185,CRICCHIO,FRANK,DOXAZOSIN MESYLATE,2779.43
1871674861,FOSTER,GUY,MONTELUKAST SODIUM,3859.22
1548238835,BLOOM,RONALD,OMEPRAZOLE,138.24
1265512263,STEFFENS,REBECCA,KLOR-CON M20,639.32
1235349820,BACHISON,CASEY,SODIUM CHLORIDE,62.2
1295819175,GORE,ANDREA,DILTIAZEM 24HR ER,144.1
1184703613,BYRNS,DANIEL,CITALOPRAM HBR,2266.07
1881706182,BARKER,JOHN,LISINOPRIL-HYDROCHLOROTHIAZIDE,285.01
1891762126,MIKDASHI,JAMAL,BD ULTRA-FINE PEN NEEDLE,603.21
1780688572,CLARK,DOUGLAS,CRESTOR,5787.03
1760829857,MINER,JARON,LISINOPRIL,247.52
1215299573,MARSH,MATTHEW,LANTUS SOLOSTAR,10159.64
1457322976,CHRISTIE,JEFFREY,CRESTOR,63061.42
1164439469,EVANS,SHERIDAN,AZITHROMYCIN,326.43
1134149263,FUHRMANN,DONN,CLOZAPINE,348.74
1104931773,WEINTRAUB,BERNARD,PRIMIDONE,136.13
1760525679,SPURR,MELISSA,AMLODIPINE BESYLATE,55.08
1669437844,EISENTROUT,TAMMY,ATORVASTATIN CALCIUM,3206.21
1093011074,BATEMAN,ERIN,LANTUS,7470.87
1649322868,MA,AYEMYINT,INSULIN SYRINGE,427.35
1427034743,LENZ,PAUL,DIOVAN,4071.64
1083777908,CANNON,STEPHEN,HYDROXYCHLOROQUINE SULFATE,3314.7
1366520298,CHATMAN,ERIC,LEVOTHYROXINE SODIUM,2648.08
1003803974,NGUYEN,KHANH,LOSARTAN-HYDROCHLOROTHIAZIDE,767.86
1730163437,LEMKUIL,DANIEL,AMLODIPINE BESYLATE-BENAZEPRIL,509.56
1437218435,MEZIC,EDWARD,METFORMIN HCL,1619.36
1023093945,DILORENZO,LORI,CYCLOBENZAPRINE HCL,375.81
1962421016,LE,RICHARD,NASONEX,31264.69
1659349140,CLAVECILLA,PIO,WARFARIN SODIUM,458.55
1396745022,CAHILL,TERENCE,CHLORTHALIDONE,1351.96
1144297714,BARNES,HAL,JANUVIA,3973.54
1679726251,SAJOR-SAM,ETHEL,ALENDRONATE SODIUM,132.65
1689663031,DELLINGER,CAROL,AMLODIPINE BESYLATE,1461.32
1720068760,STANCIU,IRINEL,HYDROCHLOROTHIAZIDE,184.57
1487898904,CROUCH,SHALISHA,METHYLPHENIDATE HCL,1120.49
1326374018,HEDEGAARD,KIMBERLY,SUMATRIPTAN SUCCINATE,451.22
1669564738,LIU,JOSEPH,POLYETHYLENE GLYCOL 3350,659.65
1609841956,NINICHUCK,ANDREW,MECLIZINE HCL,736.76
1023169026,GRAVES,SCOTT,VERAPAMIL ER,312.17
1447272026,NORMAN,ROBERT,CEPHALEXIN,169.06
1982645438,KANG,HUN,LEVEMIR FLEXTOUCH,15123.73
1598087280,GONZALEZ,BLANCA,LORAZEPAM,296.32
1144273939,THOMAS,SCOTT,FLUTICASONE PROPIONATE,941.41
1598702623,WEISEN,STEVEN,SIMVASTATIN,746.24
1013340538,KNODLE,JENNIFER,CARBAMAZEPINE,969.02
1497833198,MOLETA,MARY,DOXYCYCLINE MONOHYDRATE,1520.0
1235111303,RICARD,A.,DOXAZOSIN MESYLATE,430.46
1477674604,SCOLNICK,BARBARA,DIVALPROEX SODIUM,5121.91
1073574414,LILLY,JONATHAN,INVANZ,4343.39
1497004774,STONE,MEGAN,FENTANYL,1745.54
1518114883,TANEJA,VIMAL,LOSARTAN POTASSIUM,781.13
1528038403,PANITCH,KENNETH,DONEPEZIL HCL,488.8
1801996756,REYER,JEFFREY,POLYETHYLENE GLYCOL 3350,269.49
1184770463,AU,THOMAS,IRBESARTAN-HYDROCHLOROTHIAZIDE,911.79
1396801718,FEATHERSTONE,AMBER,ALPRAZOLAM,34.9
1134228968,GIRON,FABIO,ADVAIR DISKUS,17679.25
1982649588,RUNDALL,JODEE,TEMAZEPAM,192.36
1518154814,BLANDO,LUIS,ALENDRONATE SODIUM,110.16
1679721179,PARKS,ELIZABETH,OMEGA-3 ACID ETHYL ESTERS,4009.7
1073576203,CAMERON,MARY,GEMFIBROZIL,450.2
1740377688,BERG,PAUL,RANITIDINE HCL,233.99
1922060326,RAGUPATHI,ROHINI,LOVASTATIN,169.55
1760530737,ICHIUJI,ANNE,PRAVASTATIN SODIUM,2311.13
1679536361,MOHAMMED,DECCA,IBUPROFEN,34.16
1497709570,RIPCHINSKI,MICHAEL,FLUTICASONE PROPIONATE,330.18
1548368699,DUBIEN,LAWRENCE,PAROXETINE HCL,172.84
1083619779,LEE,CARLO,SERTRALINE HCL,35.27
1811934813,MASSAQUOI,STEVE,CARBIDOPA-LEVODOPA,771.24
1720118599,KALLICK,STEVEN,ALENDRONATE SODIUM,554.17
1891736013,PROVANZANA,KATHLEEN,VICTOZA 3-PAK,12260.03
1033227855,SAHLI,KEVIN,JANUMET XR,7359.7
1750485835,YEUNG,JOSEPH,PREDNISOLONE ACETATE,18558.1
1942385471,PARK,KWANG,LAMOTRIGINE,173.01
1396001640,BREWSTER,JENNIFER,AMOXICILLIN-CLAVULANATE POTASS,124.11
1316961188,ROGERS,WARD,PRAVASTATIN SODIUM,2279.3
1013911361,QUAVE,BRETT,HYDROMORPHONE HCL,700.16
1659669398,LIBERATI,RACHEL,DIAZEPAM,123.49
1093837692,MUHAMMAD,SHEELAH,HYDROCHLOROTHIAZIDE,81.78
1043283278,HARDEN,LIZZIE,MONTELUKAST SODIUM,356.15
1447232582,MARZA,LIZETT,JANUMET,8635.95
1477529154,KABIR,ABDUL,NYSTOP,2029.88
1598187742,NEMETH,RITA,TRAZODONE HCL,665.2
1861717837,BICKEL,TYLER,ZOSTAVAX,7792.27
1053311662,RAISSI,SINA,CALCIUM ACETATE,6685.81
1891029856,BENNING,GURPAL,ENALAPRIL MALEATE,966.89
1235189465,KOHLI-DANG,NEETA,OMEPRAZOLE,400.57
1730334384,HENDERSON,JOSH,POLYETHYLENE GLYCOL 3350,465.27
1205246618,ST.HUBERT,KISLENE,METOPROLOL SUCCINATE,299.81
1871566778,PEREZ,BENITO,HYDROMORPHONE HCL,532.71
1558341594,CROSSLEY,DENNIS,TRIAMCINOLONE ACETONIDE,65.64
1255481362,HOSMANE,RAMACHANDRA,ELMIRON,9126.31
1538169040,HULL,BRIAN,GABAPENTIN,1019.54
1972505659,GROSSMAN,DENNIS,DIGOXIN,1332.21
1366588535,GARBER,SETH,SPIRIVA,9787.22
1093745853,HENDON,THOMAS,CEPHALEXIN,122.41
1386701829,WOMACK,JAMES,GLIMEPIRIDE,369.5
1922347400,KHAN,FAHAD,LEVOTHYROXINE SODIUM,151.59
1922084094,LUDT,WILLIAM,VALSARTAN,1411.39
1063414456,SPACCARELLI,JOHN,HYDROXYZINE HCL,217.33
1689690158,GUTOWSKI,SCOTT,OXYCODONE-ACETAMINOPHEN,744.72
1497738025,BENDONI,ROBERTO,OMEGA-3 ACID ETHYL ESTERS,6295.41
1790127611,BALAUAG,SHERRY ANN,LEVOTHYROXINE SODIUM,215.07
1487606612,WILBERDING,CYNTHIA,VERAPAMIL ER PM,934.31
1013073949,YURFEST,JOSHUA,METHADONE HCL,1961.1
1548239932,HOPKINS,LEAH,ATORVASTATIN CALCIUM,3580.21
1457430076,SUMMA,JOHN,PRAVASTATIN SODIUM,475.08
1952561565,BURGESS,JENNIFER,LISINOPRIL-HYDROCHLOROTHIAZIDE,275.76
1023309747,SHIELDS,ANGELA,TRAZODONE HCL,472.26
1568524098,EDWARDS,ELENA,RANITIDINE HCL,589.27
1659468742,HALL-ROSS,SANDRA,TUDORZA PRESSAIR,4420.11
1396705976,DINSMORE,STEVEN,COMBIGAN,1897.65
1457306334,COYNE,BRIAN,LISINOPRIL-HYDROCHLOROTHIAZIDE,1157.94
1942267281,BRUCE,KAREN,SPIRIVA,7372.36
1184619298,KOROBOW,AMY,PREDNISONE,167.2
1760439277,JIANG,LEI,METOPROLOL TARTRATE,209.43
1194782722,WILLIAMS,DAVID,AMOXICILLIN-CLAVULANATE POTASS,266.44
1124098694,CABALA,ALBERT,FENOFIBRATE,1137.52
1477548030,GARAVAGLIA,PHILIP,LEVOTHYROXINE SODIUM,686.57
1073583332,FORSTER,CARL,METHOCARBAMOL,374.65
1609893676,BRADSHAW,JERRI,ALENDRONATE SODIUM,122.94
1710201264,BRAHIN,ERIC,CARBAMAZEPINE ER,442.65
1346269586,GRENTZ,DIETMAR,AMLODIPINE BESYLATE,219.07
1578649984,ODELL,JOHN,OXYCODONE HCL,63.01
1073604666,DEEKS,STEVEN,ISENTRESS,171192.58
1588681126,RANA,GERALD,COMBIVENT RESPIMAT,4736.8
1932194032,WAITE,VINCENT,HYDROCHLOROTHIAZIDE,299.38
1871769125,VOHRA,IRA,SPIRONOLACTONE,150.99
1508005760,WICKERT,PATRICIA,OXYCODONE-ACETAMINOPHEN,656.99
1467494153,POLLARD,LESLIE,NOVOLOG MIX 70-30,2987.97
1831141852,YARIAN,DAVID,GABAPENTIN,1417.69
1700066933,JOHANSEN,NAWAL,ALENDRONATE SODIUM,460.05
1518053503,"GUERRERO, M.D., PLLC",ISMAEL,ONGLYZA,6089.74
1073760377,SHAVER,SANDRA,MONTELUKAST SODIUM,220.4
1982771804,WEISSLER,TAMAR,PROAIR HFA,2532.18
1295729200,KUMAR,NAVEEN,LEVOFLOXACIN,445.39
1982626461,ADCOCK,JEFFRY,CEFUROXIME,404.04
1215114129,ANTHONY,JAMIE,ESTRADIOL,1228.05
1194074682,CORBETT,MICHAEL,REYATAZ,25509.83
1437103512,OLADEINDE,MODUPE,PIOGLITAZONE HCL,1524.72
1467751354,SZCZEPANSKI,DEVAN,DOXYCYCLINE HYCLATE,536.57
1851642466,WITT,JENNA,PROAIR HFA,1062.37
1194729566,GETZOW,MARTIN,HUMALOG,2960.82
1043236722,BAKER,MICHAEL,OXYBUTYNIN CHLORIDE ER,1438.35
1518969013,DULLE,DAVID,VESICARE,7892.53
1134296395,WISHNOV,BRUCE,SUMATRIPTAN SUCCINATE,133.93
1538374236,HARDING,ERICA,ENALAPRIL MALEATE,803.66
1477815488,MITCHELL,PATRICIA,ZOLPIDEM TARTRATE,135.96
1417053414,STODDARD,SARA,ATORVASTATIN CALCIUM,117.9
1649474941,KRIEG,CHRISTY,TOLTERODINE TARTRATE ER,5855.09
1972893139,DAVIS,MELANIE,CLONAZEPAM,685.64
1235179870,HUANG,XIAOGUANG,LOVASTATIN,5044.85
1679712681,UTTER,SANDRA,METFORMIN HCL,620.54
1073551610,STARR,KAREN,KOMBIGLYZE XR,4310.23
1013008333,ROOKLIN,ANTHONY,COMBIVENT RESPIMAT,5102.52
1316931744,NEWMAN,BERNARD,HYDROCODONE-ACETAMINOPHEN,1077.36
1366603391,BUFFALOE,LEON,VALSARTAN-HYDROCHLOROTHIAZIDE,3083.57
1659477685,RUCKER,RICHARD,TEMAZEPAM,290.17
1265656417,AMANI,FARIBA,XARELTO,18522.87
1700893153,MUNSELL,JOHN,IRBESARTAN,2180.06
1710937610,WHITE,BRIAN,GLIMEPIRIDE,75.49
1245236363,SCHUBERT,ROBERT,DONEPEZIL HCL,2091.86
1205982998,HERRICK,DAVID,LYRICA,63682.64
1467595181,STROTHER,KATHRYN,CELECOXIB,2707.68
1013136464,KHAJAVI,MEHRAN,HYDRALAZINE HCL,230.42
1013979228,MONTGOMERY,KIMBERLY,AMITIZA,10354.5
1699930834,KELLEY,LETICIA,LISINOPRIL,45.55
1952348724,SANTANA,DOMINGO,ATENOLOL-CHLORTHALIDONE,643.07
1679711428,IVERSEN,MELISSA,LAMOTRIGINE,98.8
1780793562,GARCIA MORELL,GUSTAVO,LANTUS,5588.62
1346223955,GOUGH,RICHARD,SYMBICORT,6316.19
1336465848,ZHANG,LEI,GABAPENTIN,481.46
1902027113,HEITOR,FERNANDA,METOPROLOL SUCCINATE,940.33
1801844105,CUSHENBERRY STARKS,PAMELA,TRAZODONE HCL,440.34
1255540035,WALKER,MARK,LISINOPRIL,258.74
1821088410,PORTERA,JOSEPH,ESTRACE,41803.87
1386959872,HLAING,WIN WIN,CLOPIDOGREL,154.21
1619973179,WAGNER,RICHARD,BENZTROPINE MESYLATE,838.08
1275647521,HANSEN,DAVID,CHLORTHALIDONE,626.76
1568464048,OWIESY,FAROUGH,ALENDRONATE SODIUM,699.64
1275530594,LOCKLEAR,KENNETH,NYSTOP,2743.64
1902912454,CABRERA,LUIS,REPAGLINIDE,873.74
1871518076,HAYES,SHAWN,DEXILANT,10274.49
1316935372,VALENZA,JOSEPH,METHADONE HCL,309.94
1669584447,MORAVINENI,RAO,ESCITALOPRAM OXALATE,389.94
1841272127,KAPPAGODA,CHULANI,SIMVASTATIN,76.95
1740471861,MONROY TRUJILLO,JOSE,AMLODIPINE BESYLATE,215.61
1528096195,DURIE,WILLIAM,WARFARIN SODIUM,1522.61
1841357274,MORAD,YOSEF,ELIQUIS,3458.08
1043656325,CHANG-MISHRA,VICTORIA,HYDROCHLOROTHIAZIDE,101.01
1306838693,COLE,DARBY,AMOXICILLIN,95.07
1013933076,SCHOEN,MALCOLM,ZALEPLON,332.4
1508070046,JOHNSON,CHRISTINE,TAMOXIFEN CITRATE,806.35
1083763981,SINGH,RAKHI,ATENOLOL,165.19
1023227576,AKBARY,HARES,LYRICA,68831.94
1912117896,NEDOBA,PETRA,ZOLPIDEM TARTRATE,274.8
1679588461,WINFIELD,ALBERT,CARVEDILOL,900.03
1215944319,PAYTON,J.,TOPROL XL,1442.98
1194746362,MAYS,GLORIA,DIVALPROEX SODIUM,723.06
1063428019,AUER,PATRICIA,FLUTICASONE PROPIONATE,353.74
1396859898,STONES,MICHAEL,NAPROXEN,141.57
1972614519,DREWS,DENNIS,LITHIUM CARBONATE,216.06
1730367939,GILBERTSON,TAMRA,GABAPENTIN,3471.74
1659562726,PHILLIPS,ROB,ATORVASTATIN CALCIUM,973.05
1750480489,ENGEL-KOMINSKY,SUZANNE,MONTELUKAST SODIUM,960.16
1457352890,JIMENEZ,RICKY,CANASA,5803.9
1720234834,CORDEIRO,KATHLEEN,PREDNISONE,88.34
1902132145,MONAHAN,KIMBERLY,OMEPRAZOLE,412.7
1497712368,HAYES,BURTON,ZOLPIDEM TARTRATE,47.87
1689788630,DAVIS,DENNON,BUSPIRONE HCL,1444.49
1568417889,DEL RIO,GERALD,FINASTERIDE,688.22
1982604906,FOLEY,ALLISON,NYSTATIN,348.41
1629076120,YERRAPRAGADA,SREEDEVI,NIFEDIPINE ER,1907.08
1306945365,NGUYEN,DUC,CARVEDILOL,1006.89
1033441431,BARNAK,EMILY,GABAPENTIN,590.84
1245449461,OGHLAKIAN,ROGER,ZOLPIDEM TARTRATE,27.34
1407921067,DORF,BRYAN,OXYBUTYNIN CHLORIDE,328.8
1710089388,IBRAHIM,ALI,DONEPEZIL HCL,168.03
1265489280,CHARI,KAMINI,DONEPEZIL HCL,503.96
1346257789,JOHNSON,ANGELA,JANUVIA,7482.36
1528067345,DAKHEEL,RIAD,AMIODARONE HCL,134.28
1528258449,THOMAS,KRISTINA,TIMOLOL MALEATE,1539.85
1538460498,CADOO,LISA,CARBAMAZEPINE,240.16
1598722100,CLAYTON,MICHAEL,AZELASTINE HCL,1155.15
1821159963,SCARBROUGH,FRANK,CHLORHEXIDINE GLUCONATE,315.49
1972705572,NGUYEN,ERIN,JANUVIA,3747.91
1003803701,PERRI,GINA,ALLOPURINOL,3201.96
1043533102,BARONE,DANIEL,CLONAZEPAM,119.76
1841293461,MEHTA,VIKRAM,NEXIUM,7748.52
1568417533,CAIFANO,ROBERT,CLONIDINE HCL,349.16
1619129624,TAVAREZ,ROMAN,FUROSEMIDE,341.61
1205916962,HILL,CHARLES,RISPERIDONE,346.24
1659312536,PUGA,LEOPOLDO,LEVOTHYROXINE SODIUM,1081.71
1891818472,ROSENBERG,JEFFREY,CLINDAMYCIN HCL,70.04
1407925274,WEISSBART,CLYDE,LEVETIRACETAM,12183.73
1134177082,LUNDE,MICHAEL,VENLAFAXINE HCL ER,465.55
1063478469,WEISSMAN,PAUL,XIFAXAN,41337.47
1639178437,LENZ,PATRICK,NIFEDIPINE ER,1044.8
1306838719,KHOURY,THOMAS,WARFARIN SODIUM,690.15
1215935663,LERTRATANAKUL,YONGSUK,SILDENAFIL,520.93
1508045840,WHITTEN,SHANNON,CLONIDINE HCL,172.28
1336109131,MAGIYAWALA,SUJIT,AZITHROMYCIN,1370.14
1245328079,HAWKINS,GENE,FENOFIBRIC ACID,1595.88
1861418931,GODINICH,MARY,LOSARTAN POTASSIUM,324.2
1750393914,BELL,GORDON,FLOVENT HFA,4900.34
1922110972,CURTIS,AUDREY,NITROFURANTOIN MONO-MACRO,551.86
1922173616,MICKELSON,MORRIS,CARTIA XT,685.62
1104847516,CHAPMAN,DEITRICE,AZITHROMYCIN,501.0
1578593273,ODIE,DENNIS,VENLAFAXINE HCL ER,1350.81
1356341168,REDDY,MANORAMA,FOLIC ACID,88.11
1811959661,TRIANA,RUDOLPH,LEVOCETIRIZINE DIHYDROCHLORIDE,98.4
1366428740,CHASNIS,ALEXANDER,PREDNISONE,220.81
1508887688,EHLY,NELSON,LISINOPRIL,478.36
1184629800,SCHWARTZ,AARON,MONTELUKAST SODIUM,288.27
1740604487,FRENCH,EDWARD,SULFAMETHOXAZOLE-TRIMETHOPRIM,85.69
1164413761,MUNTEAN,DAN,OXYCODONE-ACETAMINOPHEN,9351.15
1770733743,NALLEGOWDA,MALLIKARJUNA,HYDROCODONE-ACETAMINOPHEN,9124.7
1548335573,MCKELLAR,MEHRI,CRESTOR,2338.15
1548496557,WILSON,MICHELLE,DILTIAZEM HCL,612.07
1427210426,MOHINDRA,RAGHAV,PREMARIN,5792.85
1326030677,COPE,JACK,METFORMIN HCL,952.05
1659390441,CRUICKSHANK,FREDERICK,SERTRALINE HCL,137.7
1780652420,SIKSAY,MARIANNA,POTASSIUM CHLORIDE,694.48
1073517959,ANDERSEN,ERIC,TAMSULOSIN HCL,326.05
1609842350,HOEKZEMA,GRANT,ATORVASTATIN CALCIUM,3697.6
1639117823,HALES,REID,SULINDAC,500.97
1356334056,PRATT,HENRY,AMIODARONE HCL,208.59
1164405965,POWELL,RONALD,HARVONI,560687.1
1619998077,CRUM,KIMBERLY,AMLODIPINE BESYLATE,5860.41
1811976939,LEWIS,CRAIG,PROMETHAZINE HCL,41.33
1306079165,JOHNSON,ERIN,PROMETHAZINE HCL,208.67
1730159823,FLANAGAN,JOHN,CIPROFLOXACIN HCL,245.62
1760417331,TSIRIGOTIS,PAULINE,MECLIZINE HCL,377.49
1043268030,STARLING,CAROL,TIMOLOL MALEATE,219.88
1518949791,MEHFOUD,GEORGE,MIRTAZAPINE,3644.28
1841306636,WALBRANDT,MELISSA,METFORMIN HCL,791.7
1306836721,MCNEELY,CARL,TRAZODONE HCL,543.35
1629067541,DIETZ,LISA,TOPIRAMATE,299.83
1073574273,SANCHEZ,RUTH,CYCLOBENZAPRINE HCL,59.41
1174777643,DOLEZAL,MILANA,OXYCODONE HCL,654.99
1750344966,EAKIN WEGENER,KIMBERLY,ISOSORBIDE MONONITRATE ER,541.61
1962561860,SKELTON,WENDY,ZOLPIDEM TARTRATE,50.28
1518222355,IGNASZEWSKI,KARISSA,CITALOPRAM HBR,358.72
1154520351,PATEL,SNEHA,CYCLOBENZAPRINE HCL,309.44
1366528887,MAR,JOHN,QUETIAPINE FUMARATE,721.75
1285688507,CATENA,WILLIAM,ATORVASTATIN CALCIUM,564.53
